In [5]: run section-4-7-venus-smallsat-performance-analysis-prd.py
RUN #: 69, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 51, EFPA: -5.22, SIGMA: -0.75, APO : 2169.91
RUN #: 70, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 171, EFPA: -5.24, SIGMA: 1.83, APO : 1500.00
RUN #: 71, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 77, EFPA: -5.19, SIGMA: 1.01, APO : 1630.70
RUN #: 72, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 63, EFPA: -5.21, SIGMA: 0.85, APO : 2129.30
RUN #: 73, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 122, EFPA: -5.24, SIGMA: -0.31, APO : 2250.76
RUN #: 74, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 16, EFPA: -5.22, SIGMA: -0.17, APO : 1961.87
RUN #: 75, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 119, EFPA: -5.17, SIGMA: 1.25, APO : 1907.74
RUN #: 76, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 172, EFPA: -5.18, SIGMA: -0.07, APO : 1762.07
RUN #: 77, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 118, EFPA: -5.23, SIGMA: 2.17, APO : 1846.22
RUN #: 78, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 100, EFPA: -5.18, SIGMA: 0.93, APO : 2551.02
RUN #: 79, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 118, EFPA: -5.19, SIGMA: -0.44, APO : 1806.69
RUN #: 80, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 85, EFPA: -5.19, SIGMA: 1.53, APO : 2110.11
RUN #: 81, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 88, EFPA: -5.19, SIGMA: 0.06, APO : 1883.68
RUN #: 82, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 31, EFPA: -5.21, SIGMA: -0.97, APO : 1813.84
RUN #: 83, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 166, EFPA: -5.15, SIGMA: 1.91, APO : 1949.28
RUN #: 84, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 31, EFPA: -5.22, SIGMA: -0.70, APO : 1848.02
RUN #: 85, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 37, EFPA: -5.23, SIGMA: 2.49, APO : 3026.62
RUN #: 86, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 50, EFPA: -5.15, SIGMA: 0.88, APO : 1887.25
RUN #: 87, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 138, EFPA: -5.25, SIGMA: 0.32, APO : 2001.36
RUN #: 88, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 96, EFPA: -5.16, SIGMA: 2.12, APO : 2253.63
RUN #: 89, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 195, EFPA: -5.20, SIGMA: -0.51, APO : 1815.25
RUN #: 90, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 37, EFPA: -5.18, SIGMA: 1.93, APO : 2165.39
RUN #: 91, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 27, EFPA: -5.18, SIGMA: -0.81, APO : 1975.76
RUN #: 92, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 127, EFPA: -5.21, SIGMA: -0.10, APO : 1928.55
RUN #: 93, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 101, EFPA: -5.18, SIGMA: -0.40, APO : 1865.78
RUN #: 94, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 39, EFPA: -5.20, SIGMA: -0.06, APO : 2046.30
RUN #: 95, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 68, EFPA: -5.17, SIGMA: -0.88, APO : 2142.99
