In [6]: run section-3-7-mars-smallsat-performance-analysis-prd.py
RUN #: 78, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 255, EFPA: -9.25, SIGMA: 0.19, APO : 1863.64
RUN #: 79, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 492, EFPA: -9.34, SIGMA: -0.46, APO : 2423.95
RUN #: 80, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 193, EFPA: -9.19, SIGMA: -0.48, APO : 2179.71
RUN #: 81, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 278, EFPA: -9.18, SIGMA: -0.01, APO : 2394.07
RUN #: 82, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 305, EFPA: -9.34, SIGMA: 0.08, APO : 1971.57
RUN #: 83, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 250, EFPA: -9.32, SIGMA: -0.61, APO : 2232.44
RUN #: 84, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 875, EFPA: -9.30, SIGMA: 0.44, APO : 2307.27
RUN #: 85, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 27, EFPA: -9.31, SIGMA: 0.64, APO : 2431.67
RUN #: 86, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 597, EFPA: -9.19, SIGMA: -1.49, APO : 1953.04
RUN #: 87, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 217, EFPA: -9.25, SIGMA: 0.78, APO : 2136.74
RUN #: 88, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 612, EFPA: -9.30, SIGMA: -1.08, APO : 2180.23
RUN #: 89, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 601, EFPA: -9.37, SIGMA: -0.47, APO : 2194.31
RUN #: 90, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 772, EFPA: -9.37, SIGMA: -0.60, APO : 2055.70
RUN #: 91, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 557, EFPA: -9.39, SIGMA: 0.62, APO : 1621.22
RUN #: 92, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 669, EFPA: -9.38, SIGMA: -1.46, APO : 1966.95
RUN #: 93, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 373, EFPA: -9.26, SIGMA: 0.43, APO : 2329.65
RUN #: 94, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 181, EFPA: -9.23, SIGMA: 1.89, APO : 1831.46
RUN #: 95, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 717, EFPA: -9.18, SIGMA: -0.41, APO : 2012.09
RUN #: 96, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 493, EFPA: -9.30, SIGMA: -0.19, APO : 2035.43
RUN #: 97, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 887, EFPA: -9.16, SIGMA: -1.11, APO : 2089.59
RUN #: 98, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 937, EFPA: -9.26, SIGMA: 1.45, APO : 2139.50
RUN #: 99, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 620, EFPA: -9.18, SIGMA: -1.59, APO : 2065.09
RUN #: 100, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 35, EFPA: -9.20, SIGMA: -0.74, APO : 2078.67
RUN #: 101, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 568, EFPA: -9.25, SIGMA: 1.08, APO : 2472.01
RUN #: 102, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 451, EFPA: -9.25, SIGMA: -0.38, APO : 2183.24
RUN #: 103, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 221, EFPA: -9.28, SIGMA: 0.18, APO : 2210.38
RUN #: 104, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 313, EFPA: -9.17, SIGMA: 1.31, APO : 2391.59
RUN #: 105, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 388, EFPA: -9.19, SIGMA: -0.67, APO : 2214.24
RUN #: 106, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 159, EFPA: -9.19, SIGMA: -0.24, APO : 2136.37
RUN #: 107, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 785, EFPA: -9.27, SIGMA: 0.02, APO : 2104.26
RUN #: 108, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 791, EFPA: -9.27, SIGMA: -0.62, APO : 1916.55
RUN #: 109, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 263, EFPA: -9.30, SIGMA: -0.89, APO : 1987.38
RUN #: 110, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 195, EFPA: -9.30, SIGMA: -0.10, APO : 2382.89
RUN #: 111, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 602, EFPA: -9.26, SIGMA: -0.27, APO : 1800.05
RUN #: 112, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 875, EFPA: -9.38, SIGMA: 0.73, APO : 2069.13
RUN #: 113, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 722, EFPA: -9.34, SIGMA: 1.24, APO : 1723.84
RUN #: 114, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 43, EFPA: -9.17, SIGMA: 0.36, APO : 1826.22
RUN #: 115, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 534, EFPA: -9.22, SIGMA: -0.47, APO : 2144.93
RUN #: 116, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 259, EFPA: -9.23, SIGMA: 0.84, APO : 1980.27
RUN #: 117, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 363, EFPA: -9.22, SIGMA: 1.21, APO : 1887.22
RUN #: 118, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 476, EFPA: -9.34, SIGMA: -0.79, APO : 1405.88
RUN #: 119, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 482, EFPA: -9.13, SIGMA: -0.13, APO : 2017.08
RUN #: 120, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 500, EFPA: -9.13, SIGMA: 0.06, APO : 2391.84
RUN #: 121, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 432, EFPA: -9.22, SIGMA: -1.04, APO : 2026.36
RUN #: 122, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 115, EFPA: -9.18, SIGMA: 1.51, APO : 2165.92
RUN #: 123, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 290, EFPA: -9.22, SIGMA: -1.26, APO : 2040.85
RUN #: 124, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 42, EFPA: -9.29, SIGMA: 0.08, APO : 2219.40
RUN #: 125, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 812, EFPA: -9.27, SIGMA: -0.29, APO : 2041.52
RUN #: 126, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 785, EFPA: -9.31, SIGMA: -1.26, APO : 2295.09
RUN #: 127, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 821, EFPA: -9.31, SIGMA: -0.11, APO : 2268.56
RUN #: 128, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 911, EFPA: -9.30, SIGMA: -1.53, APO : 1927.33
RUN #: 129, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 800, EFPA: -9.13, SIGMA: 1.10, APO : 2250.70
RUN #: 130, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 639, EFPA: -9.30, SIGMA: -0.23, APO : 1517.80
RUN #: 131, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 93, EFPA: -9.27, SIGMA: 2.20, APO : 1836.45
RUN #: 132, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 783, EFPA: -9.35, SIGMA: 0.84, APO : 1628.91
RUN #: 133, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 867, EFPA: -9.12, SIGMA: 1.48, APO : 1900.46
RUN #: 134, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 499, EFPA: -9.34, SIGMA: -0.85, APO : 2127.95
RUN #: 135, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 845, EFPA: -9.23, SIGMA: 0.49, APO : 2018.23
RUN #: 136, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 90, EFPA: -9.27, SIGMA: 1.16, APO : 1582.30
RUN #: 137, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 886, EFPA: -9.20, SIGMA: -0.67, APO : 2077.30
RUN #: 138, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 995, EFPA: -9.34, SIGMA: 0.67, APO : 2234.96
RUN #: 139, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 659, EFPA: -9.21, SIGMA: -0.65, APO : 2090.26
RUN #: 140, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 95, EFPA: -9.37, SIGMA: 0.19, APO : 2622.52
RUN #: 141, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 216, EFPA: -9.25, SIGMA: -0.56, APO : 2098.68
