# Hgtkm   TotNDm3     H2NDm3     HeNDm3    CH4NDm3   Denskgm3     PresNm2    TempK   Zeta 
 610.0 3.5396E+18 2.8668E+18 6.7246E+17 3.0116E+14 1.4091E-08  1.0672E-02  218.38 1.0000
 615.0 3.2673E+18 2.6463E+18 6.2074E+17 2.2295E+14 1.3005E-08  9.9320E-03  220.18 1.0000
 620.0 3.0353E+18 2.4584E+18 5.7667E+17 1.6484E+14 1.2081E-08  9.2985E-03  221.89 1.0000
 625.0 2.8200E+18 2.2841E+18 5.3578E+17 1.2094E+14 1.1223E-08  8.7057E-03  223.60 1.0000
 630.0 2.6203E+18 2.1223E+18 4.9783E+17 8.8035E+13 1.0428E-08  8.1510E-03  225.31 1.0000
 635.0 2.4349E+18 1.9722E+18 4.6262E+17 6.3578E+13 9.6898E-09  7.6318E-03  227.02 1.0000
 640.0 2.2628E+18 1.8329E+18 4.2993E+17 4.5548E+13 9.0048E-09  7.1459E-03  228.73 1.0000
 645.0 2.1031E+18 1.7035E+18 3.9959E+17 3.2367E+13 8.3690E-09  6.6911E-03  230.44 1.0000
 650.0 1.9548E+18 1.5834E+18 3.7141E+17 2.2812E+13 7.7788E-09  6.2654E-03  232.14 1.0000
 655.0 1.8172E+18 1.4719E+18 3.4526E+17 1.5946E+13 7.2308E-09  5.8670E-03  233.85 1.0000
 660.0 1.6893E+18 1.3683E+18 3.2097E+17 1.1054E+13 6.7220E-09  5.4940E-03  235.56 1.0000
 665.0 1.5706E+18 1.2722E+18 2.9841E+17 7.5998E+12 6.2496E-09  5.1449E-03  237.26 1.0000
 670.0 1.4644E+18 1.1862E+18 2.7824E+17 5.1959E+12 5.8270E-09  4.8343E-03  239.10 1.0000
 675.0 1.3688E+18 1.1088E+18 2.6008E+17 3.5317E+12 5.4467E-09  4.5556E-03  241.05 1.0000
 680.0 1.2796E+18 1.0365E+18 2.4313E+17 2.3808E+12 5.0917E-09  4.2930E-03  242.99 1.0000
 685.0 1.1964E+18 9.6905E+17 2.2731E+17 1.5918E+12 4.7603E-09  4.0457E-03  244.93 1.0000
 690.0 1.1186E+18 9.0606E+17 2.1253E+17 1.0557E+12 4.4509E-09  3.8127E-03  246.88 1.0000
 695.0 1.0460E+18 8.4724E+17 1.9873E+17 6.9460E+11 4.1619E-09  3.5932E-03  248.82 1.0000
 700.0 9.7816E+17 7.9231E+17 1.8585E+17 4.5342E+11 3.8921E-09  3.3865E-03  250.76 1.0000
 705.0 9.1482E+17 7.4100E+17 1.7381E+17 2.9370E+11 3.6400E-09  3.1917E-03  252.70 1.0000
 710.0 8.5565E+17 6.9308E+17 1.6257E+17 1.8882E+11 3.4046E-09  3.0081E-03  254.64 1.0000
 715.0 8.0038E+17 6.4830E+17 1.5207E+17 1.2050E+11 3.1847E-09  2.8352E-03  256.57 1.0000
 720.0 7.4874E+17 6.0648E+17 1.4226E+17 7.6358E+10 2.9792E-09  2.6723E-03  258.51 1.0000
